Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
smd_kao_server_lynxxserver,95.1706889623,95.0757095862,96.1886555714,95.921295,98.6129502685,99.9999600894,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_300_02,79.6473383343,89.0230743793,97.2495485714,97.19975,89.8629648684,32.8257529669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_300_04,78.5757997032,88.7101140345,97.2495765714,97.199776,89.7767665112,32.7721175248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_300_06,78.786861687,88.7505607931,97.2495422857,97.199745,89.999278534,33.1333312683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_300_08,79.5398554282,88.9291463793,97.2495647143,97.19977,89.4727521625,32.5744961779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_300_10,78.6209580656,88.266626,97.2545714286,97.1998,89.1861487861,32.9743341197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_300_12,77.8467103272,89.0966036897,97.2544991429,97.19973,89.4800934902,32.5610538263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_02,78.5555047203,88.4211393103,97.2644822857,97.19976,89.8448470557,33.0278707762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_04,78.6845958513,88.9410512759,97.2694385714,97.19974,89.9497514997,33.3033395195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_06,79.7731295931,88.844913069,97.2744735714,97.23463,89.2681361873,33.3444868596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_08,78.6162266227,88.3873296207,97.2794185714,97.2346,89.7401557837,33.0272503479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_10,78.5663507635,88.9406812759,97.2794268571,97.234604,89.9845671853,32.6432118995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_12,78.6770449921,88.6764483448,97.2794365714,97.23461,89.4921623154,32.9823068664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_14,78.613163891,88.6729124138,97.2844034286,97.234604,89.7024013911,33.3426929318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_16,79.5831152018,88.3814448276,97.284418,97.23462,89.6115928833,33.2325771558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spm_ppm_ft_340_18,75.2834553717,59.6770305831,97.284418,97.23462,86.5168234675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stm_int_server_pgreplicate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_instance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_reschedule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tre_rpz_ft_cleaner_001,49.7616899739,0.0,0.0,0.0,91.7409465533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tre_rpz_ft_rougher_001,49.6058551142,0.0,0.0,0.0,91.6650299574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_cv1_cvpsa_001,93.0189361913,87.6360926207,94.8084228571,96.1718,89.6735186728,99.9991793786,99.9998346564,99.998842606,93.4237237043,87.6719406207,94.7501885714,96.17275,86.4721061511,73.551977918,94.6744434616,99.998842606
ved_gam_cv2_cvpsa_001,91.9681500116,86.5957992069,93.7084985714,94.08927,60.1306171707,0.0,0.0,0.0,92.5761797159,87.6852912069,94.7016344286,95.82608,89.3583466022,88.1617897003,94.6840468743,99.998842606
ved_gam_cv2_cvpsa_002,92.9289873188,87.6935447586,94.7076264286,95.81573,87.9919871157,98.5141953139,94.6777120276,95.9230697793,93.4306621101,87.6958622414,94.7474894286,95.82728,85.6726514562,60.3703474238,94.6800568809,99.998842606
ved_gam_cv2_cvpsa_003,93.0117672986,87.6681498966,94.7563262857,96.174805,96.6397410453,99.999958664,99.9998346564,99.998842606,93.4272413942,87.685587069,94.7017055714,95.83161,86.6638909137,62.0919160496,94.6801300236,99.998842606
ved_gam_cv2_cvpsa_004,93.0218519391,87.7537267586,94.6563521429,95.81876,96.6322662385,99.9542986829,99.9935232382,99.998842606,93.435527458,87.7471338966,94.6538557143,95.83219,85.7133874336,82.0084075296,94.6801220236,99.998842606
ved_gam_cv2_cvpsa_005,92.9957614464,87.6787236897,94.7111014286,95.81799,94.3968914808,99.3555899661,98.9225175805,99.3637499566,93.4373967536,87.710273,94.7010221429,95.801735,83.0820747787,59.1185611233,94.6801468807,99.998842606
ved_gam_server_system_health,92.4174951652,87.1627956897,94.5763885714,96.05787,99.9903253334,99.999958664,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckearly_stats_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckearly_stats_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_001_stats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_002_stats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_ave_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_ave_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_ave_003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_ave_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_detailed_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_detailed_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_detailed_003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_detailed_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckpsa_stats_001,93.1677674754,87.7960796207,94.7162392857,95.82897,75.0440887975,99.8654249696,99.9848689668,99.9650129975,93.4655952928,87.7357529655,94.6988661429,95.8052,83.9944074422,73.5171220395,94.6801213093,99.998842606
ved_gam_truckpsa_stats_002,93.1664303333,87.8072453793,94.815372,96.17177,95.1956579917,99.8792237139,99.9998346564,99.998842606,93.4548495275,87.7443287931,94.7450814286,95.80663,78.9933387247,61.7851418534,94.6846170162,99.998842606
